ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,WRITE-IN,NON,3
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,"Frazier L. O'Leary, Jr.",NON,122
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,Elani Lawrence,NON,28
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,Ryan Tauriainen,NON,16
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,59,4,Rhonda Henderson,NON,123
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,60,4,,CITYWIDE,2991
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,60,4,,CITYWIDE,153
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,Rhonda Henderson,NON,70
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,Ryan Tauriainen,NON,8
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,Elani Lawrence,NON,36
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,"Frazier L. O'Leary, Jr.",NON,37
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,WRITE-IN,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,60,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,61,4,,CITYWIDE,2045
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,61,4,,CITYWIDE,176
