ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,129,2,,CITYWIDE,812
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM KISHAN PUTTA,DEM,43
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM JORDAN GROSSMAN,DEM,154
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM PATRICK KENNEDY,DEM,130
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,REP KATHERINE VENICE,REP,46
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM BROOKE PINTO,DEM,360
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM YILIN (ELLEN) ZHANG,DEM,38
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,DEM JOHN FANNING,DEM,29
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,129,2,Write-in,NPN,8
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,141,2,,CITYWIDE,3499
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,141,2,,CITYWIDE,816
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,Write-in,NPN,2
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM JOHN FANNING,DEM,29
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM YILIN (ELLEN) ZHANG,DEM,26
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM BROOKE PINTO,DEM,337
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,REP KATHERINE VENICE,REP,21
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM PATRICK KENNEDY,DEM,176
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM JORDAN GROSSMAN,DEM,150
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,141,2,DEM KISHAN PUTTA,DEM,67
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,143,2,,CITYWIDE,2653
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,143,2,,CITYWIDE,492
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM KISHAN PUTTA,DEM,47
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM JORDAN GROSSMAN,DEM,82
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM PATRICK KENNEDY,DEM,60
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,REP KATHERINE VENICE,REP,44
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM BROOKE PINTO,DEM,211
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM YILIN (ELLEN) ZHANG,DEM,32
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,DEM JOHN FANNING,DEM,7
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,143,2,Write-in,NPN,3
